event_id,user_id,event_time,event_type,page,utm_source,utm_medium,utm_campaign,cost
bdd640fb-0667-4ad1-9c80-317fa3b1799d,user_0001,2024-09-18T08:15:00,click,/,google,cpc,Brand-Awareness,1.27
23b8c1e9-3924-46de-beb1-3b9046685257,user_0001,2024-08-03T02:13:00,page_view,/pricing,google,cpc,Brand-Awareness,1.95
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,user_0002,2024-09-12T18:17:00,page_view,/pricing,,,Brand-Awareness,0.0
972a8469-1641-4f82-8b9d-2434e465e150,user_0002,2024-09-01T04:13:00,page_view,/,,,Retention,0.0
17fc695a-07a0-4a6e-8822-e8f36c031199,user_0002,2024-10-08T11:38:00,page_view,/checkout,google,cpc,Brand-Awareness,0.37
9a1de644-815e-46d1-bb8f-aa1837f8a88b,user_0002,2024-10-13T12:05:00,click,/signup,email,email,Brand-Awareness,0.0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,user_0002,2024-08-19T01:42:00,page_view,/,google,cpc,Hire-Intl,2.6
6b65a6a4-8b81-48f6-b38a-088ca65ed389,user_0002,2024-09-08T08:29:00,page_view,/signup,email,email,Retention,0.0
47378190-96da-4dac-b2ff-5d2a386ecbe0,user_0002,2024-09-01T22:59:00,page_view,/pricing,email,email,Brand-Awareness,0.0
c241330b-01a9-471f-9e8a-774bcf36d58b,user_0003,2024-09-23T08:59:00,page_view,/signup,email,email,Hire-Intl,0.0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,user_0003,2024-09-01T10:25:00,page_view,/signup,google,cpc,Hire-Intl,1.97
371ecd7b-27cd-4130-8722-9389571aa876,user_0003,2024-09-24T20:29:00,page_view,/signup,google,cpc,Brand-Awareness,1.75
1a2a73ed-562b-4f79-8374-59eef50bea63,user_0004,2024-09-07T04:32:00,click,/,linkedin,cpc,Hire-Intl,1.88
5be6128e-18c2-4797-a142-ea7d17be3111,user_0004,2024-10-13T21:27:00,page_view,/checkout,email,email,Brand-Awareness,0.0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,user_0004,2024-09-28T00:43:00,page_view,/signup,,,Brand-Awareness,0.0
759cde66-bacf-43d0-8b1f-9163ce9ff57f,user_0004,2024-09-11T13:10:00,conversion,/signup,linkedin,cpc,Brand-Awareness,2.29
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,user_0004,2024-09-25T03:55:00,click,/pricing,email,email,Hire-Intl,0.0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,user_0004,2024-09-03T17:49:00,click,/signup,,,Retention,0.0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,user_0004,2024-10-22T11:56:00,click,/pricing,,,Hire-Intl,0.0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,user_0005,2024-09-21T15:52:00,click,/pricing,google,cpc,Hire-Intl,1.98
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,user_0005,2024-10-05T17:10:00,click,/checkout,google,cpc,Hire-Intl,2.79
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,user_0006,2024-10-04T12:42:00,page_view,/checkout,email,email,Hire-Intl,0.0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,user_0006,2024-09-19T10:01:00,page_view,/pricing,email,email,Hire-Intl,0.0
7412b293-4729-4739-a14f-f3d719db3ad0,user_0006,2024-10-25T01:14:00,page_view,/signup,google,cpc,Hire-Intl,1.54
29a3b2e9-5d65-4441-9588-42dea2bc372f,user_0006,2024-10-02T21:31:00,page_view,/checkout,google,cpc,Hire-Intl,2.35
ab9099a4-35a2-40ae-9af3-05535ec42e08,user_0007,2024-08-19T03:42:00,page_view,/checkout,linkedin,cpc,Brand-Awareness,0.16
aefcfad8-efc8-4849-b3aa-7efe4458a885,user_0007,2024-09-23T20:06:00,click,/,google,cpc,Hire-Intl,0.57
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,user_0007,2024-09-16T14:08:00,page_view,/pricing,linkedin,cpc,Hire-Intl,1.33
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,user_0007,2024-10-07T17:06:00,conversion,/,google,cpc,Hire-Intl,2.78
451b4cf3-6123-4df7-b656-af7229d4beef,user_0007,2024-10-06T07:10:00,page_view,/checkout,linkedin,cpc,Hire-Intl,0.49
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,user_0007,2024-08-13T12:16:00,click,/signup,,,Retention,0.0
5304317f-af42-412f-b838-b3268e944239,user_0007,2024-09-28T17:42:00,page_view,/signup,,,Hire-Intl,0.0
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,user_0008,2024-10-07T01:03:00,page_view,/pricing,email,email,Hire-Intl,0.0
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,user_0009,2024-10-05T02:38:00,click,/checkout,google,cpc,Hire-Intl,2.82
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,user_0009,2024-10-30T07:37:00,page_view,/checkout,email,email,Brand-Awareness,0.0
9132b63e-f162-47e4-a9c3-49e03602f8ac,user_0010,2024-10-15T06:42:00,page_view,/checkout,,,Hire-Intl,0.0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,user_0010,2024-10-18T14:20:00,click,/,,,Retention,0.0
e27a984d-6548-41d0-bfcd-9eb1a7cad415,user_0010,2024-11-04T03:04:00,page_view,/pricing,email,email,Retention,0.0
24933b83-7577-40a9-a491-f0b2ea1fca65,user_0010,2024-11-24T07:23:00,page_view,/signup,google,cpc,Brand-Awareness,2.95
beb79919-3f22-4af8-a3be-d01d43cf2fde,user_0010,2024-11-19T20:33:00,click,/signup,google,cpc,Brand-Awareness,0.31
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,user_0010,2024-11-24T04:16:00,page_view,/pricing,google,cpc,Retention,0.85
956269f0-e5d7-4875-adad-d6c795a76d79,user_0011,2024-10-06T06:43:00,page_view,/checkout,email,email,Retention,0.0
ff50bde4-3825-47b8-9cab-cc97663f1c97,user_0011,2024-11-08T01:05:00,click,/,email,email,Hire-Intl,0.0
7e570ddf-8270-40a8-a369-b584ff5e9ff0,user_0011,2024-09-23T20:16:00,page_view,/checkout,google,cpc,Brand-Awareness,0.03
dc713d96-0c0f-4195-817a-f08a1745d6d8,user_0011,2024-09-19T22:57:00,page_view,/signup,google,cpc,Brand-Awareness,1.66
28f49481-a0a0-4dc4-a720-9bdf1c11f735,user_0012,2024-08-11T09:23:00,click,/,,,Retention,0.0
98ae4334-6c12-4ce8-ae34-0454cac5b68c,user_0012,2024-08-24T21:06:00,page_view,/checkout,linkedin,cpc,Brand-Awareness,2.25
988c24c9-61b1-4d22-a280-1c4510435a10,user_0012,2024-10-07T07:55:00,click,/pricing,google,cpc,Retention,0.07
405cacec-8774-49a9-b7d2-1e02ff01cf99,user_0012,2024-09-25T10:50:00,click,/pricing,,,Retention,0.0
f143262f-dc5c-4eed-8da0-365bf89897b9,user_0012,2024-09-22T03:24:00,click,/pricing,,,Hire-Intl,0.0
1d53434b-b881-49b9-ae27-0da702f06b90,user_0012,2024-09-07T11:19:00,click,/pricing,,,Hire-Intl,0.0
c0398710-8976-4334-a281-7efdae849217,user_0012,2024-09-03T10:17:00,conversion,/signup,,,Retention,0.0
5715bd6f-a416-4293-84c2-e2e3444ea7c8,user_0013,2024-11-05T17:21:00,page_view,/signup,,,Hire-Intl,0.0
287d06ca-6f4c-469a-8b22-d3081c8eaee9,user_0013,2024-09-29T01:06:00,page_view,/signup,email,email,Retention,0.0
b8db0672-f42d-47cc-80d4-af5974273ca3,user_0013,2024-10-15T03:24:00,page_view,/,,,Brand-Awareness,0.0
f8cda88b-436d-46e2-b83c-fe0be037e5ed,user_0013,2024-10-16T17:43:00,click,/pricing,,,Retention,0.0
81f76d1c-2dbc-4134-830f-f46e8026695f,user_0013,2024-11-12T21:58:00,page_view,/,google,cpc,Brand-Awareness,2.7
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,user_0013,2024-10-15T09:42:00,page_view,/signup,linkedin,cpc,Brand-Awareness,0.38
81f631d4-a392-41a7-9777-a4774c66e0a8,user_0013,2024-10-09T21:24:00,click,/signup,email,email,Retention,0.0
5fb8d16c-2720-497d-b2eb-d6899be578c7,user_0014,2024-09-07T06:27:00,page_view,/signup,,,Retention,0.0
f4188f3f-8a14-4e62-a95b-4715c333e861,user_0015,2024-10-02T23:10:00,page_view,/signup,email,email,Hire-Intl,0.0
eb2263dd-87c5-421e-ac24-a3c5c754108f,user_0015,2024-10-20T07:43:00,click,/pricing,google,cpc,Hire-Intl,0.14
7d154385-52fb-443b-9954-6eb400257ad1,user_0015,2024-10-02T19:54:00,page_view,/pricing,,,Brand-Awareness,0.0
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,user_0015,2024-10-03T12:15:00,page_view,/,google,cpc,Retention,0.66
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,user_0016,2024-09-08T07:58:00,page_view,/checkout,,,Brand-Awareness,0.0
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,user_0016,2024-09-08T19:20:00,click,/checkout,,,Brand-Awareness,0.0
14296c07-f26b-4776-913e-4de2e0c53cb8,user_0016,2024-08-14T23:55:00,page_view,/pricing,linkedin,cpc,Brand-Awareness,0.83
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,user_0016,2024-09-22T16:31:00,page_view,/,email,email,Brand-Awareness,0.0
885f6e66-c2b6-42c5-ba5d-310011b7e948,user_0016,2024-08-21T10:20:00,page_view,/pricing,,,Hire-Intl,0.0
a8e56e0c-20de-435d-a031-d750c40db9b4,user_0016,2024-08-13T22:13:00,page_view,/checkout,google,cpc,Retention,0.19
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,user_0016,2024-09-26T13:24:00,page_view,/,,,Brand-Awareness,0.0
9b49bd26-df57-459a-8715-a10343dac043,user_0016,2024-08-04T11:19:00,click,/checkout,,,Brand-Awareness,0.0
edcd465e-3638-4821-b6e0-7cc06c52c49f,user_0017,2024-09-15T08:27:00,page_view,/checkout,linkedin,cpc,Brand-Awareness,0.5
b09b2a5c-badc-432a-8159-0f538a0f4efb,user_0017,2024-09-30T04:39:00,click,/,email,email,Hire-Intl,0.0
66245bfa-4fcc-439a-b683-d2e6337ea2df,user_0017,2024-09-09T14:11:00,page_view,/pricing,google,cpc,Retention,0.98
5f987c71-a65e-488e-abf3-ad39fec21bbe,user_0017,2024-10-19T12:17:00,click,/signup,,,Hire-Intl,0.0
7394988f-847f-49b4-a64d-1bcb702753a1,user_0018,2024-10-22T07:41:00,conversion,/,google,cpc,Hire-Intl,2.85
1064005c-3985-43cf-bf76-be1d1efa2197,user_0019,2024-09-24T19:09:00,page_view,/,google,cpc,Brand-Awareness,2.84
8dcdcd03-969b-4662-8562-8059568cc69b,user_0019,2024-10-22T22:16:00,page_view,/,,,Hire-Intl,0.0
01d74256-3860-4ab6-96a4-02f23ae8cc93,user_0019,2024-09-29T18:01:00,page_view,/checkout,,,Retention,0.0
0f1259e0-a18f-46b6-b535-106e122c9a56,user_0019,2024-10-05T02:37:00,page_view,/,email,email,Brand-Awareness,0.0
080aadfb-e7c9-4b26-9141-25c63a9bedd4,user_0020,2024-10-26T01:22:00,page_view,/,email,email,Brand-Awareness,0.0
839fbc50-1223-4513-9496-f63cdc1110c1,user_0020,2024-09-20T13:52:00,page_view,/signup,linkedin,cpc,Brand-Awareness,2.67
7c441fe7-ab42-40a7-874a-493b3ceddf2d,user_0021,2024-09-24T13:11:00,conversion,/signup,,,Brand-Awareness,0.0
b92da22b-21df-406f-8a0b-3c3336d8393a,user_0021,2024-10-19T15:29:00,click,/signup,linkedin,cpc,Retention,2.56
