lead_id,user_id,created_at,lead_stage,stage_updated_at,assigned_segment,first_touch_channel,first_touch_time,revenue
0fc98d2e-030f-4be9-9f17-8f9323c97a1e,user_0187,2024-08-31T10:12:00,MQL,2024-09-02T10:12:00,Mid-Market,email,2024-08-31T10:12:00,0.0
38e7e019-fb89-46c8-87ec-fe71d49347fc,user_0151,2024-09-28T05:07:00,Opportunity,2024-10-03T05:07:00,Mid-Market,direct,2024-09-28T05:07:00,0.0
668c879b-d2dc-42c8-b2b8-d8aa21768dd7,user_0274,2024-08-27T20:38:00,MQL,2024-09-05T20:38:00,Mid-Market,google,2024-08-27T20:38:00,366.53
f004e897-a15b-4e18-afb0-64065f4b1a97,user_0074,2024-08-17T23:28:00,MQL,2024-08-25T23:28:00,Mid-Market,email,2024-08-17T23:28:00,0.0
960be0f4-9513-4c22-9583-9b99a50a13dc,user_0128,2024-09-20T10:07:00,MQL,2024-09-26T10:07:00,Enterprise,direct,2024-09-20T10:07:00,132.05
13325c31-d010-418a-aadc-9960424211e2,user_0110,2024-09-30T04:45:00,SQL,2024-10-03T04:45:00,SMB,email,2024-09-30T04:45:00,0.0
329fc417-1081-4d45-bf45-f8a20594b24f,user_0147,2024-10-29T04:27:00,SQL,2024-11-09T04:27:00,Mid-Market,direct,2024-10-29T04:27:00,0.0
cf2e3296-7184-4713-a55f-65b7e709fba6,user_0023,2024-10-29T14:19:00,Won,2024-11-10T14:19:00,Enterprise,direct,2024-10-29T14:19:00,347.23
d8e70aeb-e7b3-4085-978b-e96820f87ba2,user_0141,2024-10-11T12:00:00,Won,2024-10-12T12:00:00,SMB,direct,2024-10-11T12:00:00,0.0
1f5df912-54e0-4431-8f13-3b65d450afa2,user_0093,2024-10-21T15:38:00,MQL,2024-10-28T15:38:00,Enterprise,linkedin,2024-10-21T15:38:00,0.0
0cf697a5-7603-436c-b139-4e3c0aee2557,user_0253,2024-11-05T21:58:00,Opportunity,2024-11-12T21:58:00,Mid-Market,direct,2024-11-05T21:58:00,170.89
6ee35607-92ea-4324-ac93-e5962b015723,user_0218,2024-09-01T21:10:00,Opportunity,2024-09-13T21:10:00,Enterprise,google,2024-09-01T21:10:00,0.0
7f0223bc-651e-4252-b974-4cded259f960,user_0291,2024-10-21T03:44:00,Won,2024-10-23T03:44:00,SMB,linkedin,2024-10-21T03:44:00,0.0
6d39da75-aee7-4ab2-a1fa-8e7a078c26ce,user_0083,2024-09-10T04:05:00,SQL,2024-09-22T04:05:00,SMB,direct,2024-09-10T04:05:00,0.0
e886a011-36f7-426c-9a9c-06792c3d17e2,user_0181,2024-08-16T00:09:00,Won,2024-08-21T00:09:00,Enterprise,google,2024-08-16T00:09:00,0.0
722dce13-47a4-4c42-8665-34972fe922aa,user_0018,2024-10-22T07:41:00,MQL,2024-11-01T07:41:00,Mid-Market,google,2024-10-22T07:41:00,0.0
9d3616a1-08de-4921-a60c-b547e2280fe3,user_0089,2024-09-07T10:10:00,Opportunity,2024-09-08T10:10:00,Mid-Market,email,2024-09-07T10:10:00,710.39
a5b40983-3eeb-404a-9df2-372e9e825aae,user_0242,2024-09-21T02:55:00,SQL,2024-09-26T02:55:00,Mid-Market,linkedin,2024-09-21T02:55:00,0.0
e1fdc6d1-6978-4221-bfb7-5c574b8c031f,user_0248,2024-09-09T02:19:00,Opportunity,2024-09-11T02:19:00,SMB,direct,2024-09-09T02:19:00,811.23
1674eb65-0f9c-4300-baa1-c5678cf9eea9,user_0114,2024-09-22T02:06:00,SQL,2024-09-24T02:06:00,Enterprise,google,2024-09-22T02:06:00,0.0
6b52f93c-2321-464e-a20d-4a1f479f6628,user_0219,2024-08-30T07:34:00,Won,2024-09-09T07:34:00,Mid-Market,direct,2024-08-30T07:34:00,0.0
cc152a1b-e278-4642-a484-e035330faaa3,user_0049,2024-08-31T05:57:00,Won,2024-09-08T05:57:00,Enterprise,direct,2024-08-31T05:57:00,395.88
fe7c80e9-a179-4e93-bfc8-25ac869bc00f,user_0137,2024-09-23T22:15:00,Opportunity,2024-10-07T22:15:00,Mid-Market,linkedin,2024-09-23T22:15:00,406.54
04ffeab2-cb7b-4b3a-8b2d-158acd5ae324,user_0284,2024-08-30T22:49:00,Won,2024-09-03T22:49:00,Enterprise,linkedin,2024-08-30T22:49:00,0.0
b69f75c5-c82b-41be-a1eb-64e6fd498e20,user_0207,2024-09-22T18:38:00,Opportunity,2024-09-29T18:38:00,SMB,direct,2024-09-22T18:38:00,0.0
c80c2195-8b65-44ce-bacc-99705beec570,user_0090,2024-09-08T01:06:00,MQL,2024-09-19T01:06:00,Mid-Market,google,2024-09-08T01:06:00,0.0
90ce82e8-e9a5-4368-9812-9eb27c13f47a,user_0198,2024-08-28T12:42:00,SQL,2024-09-09T12:42:00,Enterprise,linkedin,2024-08-28T12:42:00,0.0
453b45fe-636c-4499-9254-aad3809cd839,user_0160,2024-09-07T00:45:00,Opportunity,2024-09-15T00:45:00,Enterprise,email,2024-09-07T00:45:00,0.0
98dc9e0b-51a1-45df-86ac-10102e0869c1,user_0290,2024-10-28T04:40:00,SQL,2024-11-07T04:40:00,Mid-Market,linkedin,2024-10-28T04:40:00,0.0
cf89569d-e550-4736-8780-6e713811b519,user_0126,2024-09-29T22:03:00,MQL,2024-10-12T22:03:00,Mid-Market,google,2024-09-29T22:03:00,0.0
cf03f0c8-0eff-45bd-87eb-340dc74e48ff,user_0246,2024-10-18T00:24:00,SQL,2024-10-25T00:24:00,Enterprise,email,2024-10-18T00:24:00,541.68
5b80b8d1-8788-4fed-b8c0-4ed8fdd4ff21,user_0064,2024-10-13T00:13:00,MQL,2024-10-15T00:13:00,Mid-Market,direct,2024-10-13T00:13:00,646.41
3b964c74-ffe6-4994-9580-4c2ac44fc4b8,user_0070,2024-09-08T23:44:00,Opportunity,2024-09-11T23:44:00,SMB,email,2024-09-08T23:44:00,0.0
3f738f50-19a2-476f-a8dd-2bfdf956be95,user_0058,2024-09-15T15:11:00,Won,2024-09-24T15:11:00,Mid-Market,direct,2024-09-15T15:11:00,0.0
889fe107-443b-4d0f-bdbc-3093a8284442,user_0073,2024-08-24T21:55:00,Opportunity,2024-08-30T21:55:00,Mid-Market,linkedin,2024-08-24T21:55:00,0.0
bcaff931-ead1-4464-8a8e-858cd0f81063,user_0241,2024-09-11T07:59:00,Opportunity,2024-09-20T07:59:00,Enterprise,direct,2024-09-11T07:59:00,0.0
f2a32efd-ff13-4c80-8398-c3320e500785,user_0234,2024-09-27T01:59:00,Won,2024-10-05T01:59:00,Mid-Market,google,2024-09-27T01:59:00,0.0
fb8fe8c4-d8b4-4ead-9360-8edf382b5b86,user_0143,2024-09-10T04:03:00,SQL,2024-09-24T04:03:00,SMB,email,2024-09-10T04:03:00,0.0
ef69a980-5ad4-49ef-a36f-a890cc21cbdb,user_0200,2024-10-17T15:02:00,Opportunity,2024-10-30T15:02:00,Mid-Market,linkedin,2024-10-17T15:02:00,0.0
2c78644f-d860-45a2-bdd5-b0f8d6d744fd,user_0269,2024-09-20T21:34:00,MQL,2024-09-27T21:34:00,Enterprise,direct,2024-09-20T21:34:00,0.0
5168bbf2-97af-4bde-bc8e-9d782d14e9f4,user_0227,2024-09-24T01:27:00,Won,2024-09-28T01:27:00,Enterprise,google,2024-09-24T01:27:00,976.82
5bd93609-b297-4782-bcf4-74aace63cb1a,user_0186,2024-10-11T03:11:00,MQL,2024-10-21T03:11:00,Enterprise,direct,2024-10-11T03:11:00,0.0
b4157cea-0738-4ba4-9770-a3dbe9fa97e2,user_0086,2024-10-21T12:22:00,Opportunity,2024-10-31T12:22:00,SMB,direct,2024-10-21T12:22:00,950.94
91519998-f293-4585-9a07-d758b357f3f9,user_0066,2024-08-02T16:46:00,MQL,2024-08-08T16:46:00,SMB,google,2024-08-02T16:46:00,0.0
f2c84743-9027-4770-a460-d0d2904883c1,user_0113,2024-09-24T22:20:00,Won,2024-10-03T22:20:00,Enterprise,email,2024-09-24T22:20:00,0.0
cf767343-fced-4994-9631-c383303014d0,user_0160,2024-10-20T15:42:00,SQL,2024-10-28T15:42:00,Mid-Market,linkedin,2024-10-20T15:42:00,0.0
8ac8ad93-7e02-421d-b86b-543ae1b243cc,user_0078,2024-10-03T01:50:00,Won,2024-10-15T01:50:00,SMB,direct,2024-10-03T01:50:00,0.0
